School Name,Address,Website,City,Category,Gender,Principal,Founded,Affiliation,Web Url,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed,,,
Neerja Modi School,"Neerja Modi School, Shipra Path, Shanthi Nagar, Mansarovar, Jaipur, Rajasthan 302020",http://www.nmsindia.org/,Rajasthan,"CBSE School, ICSE School, IB school",,Indu Dubey,,,,3 crore,,0141 278 5484,"knirmal@gmail.com, aggarwal.msc@yahoo.com, malasivakumar@gmail.com","hirachand12@gmail.com, bhandurgemanoj@gmail.com, dr.bhangale@gmail.com",nmsjaipur@yahoo.com,info@nmschoolchittor.org,admissions@nmschoolchittor.org,+91-8003868333,jane@nmsindia.org,indudubey@hotmail,,,,
Nehru Memorial College,"Puthanampatti, Tamil Nadu 621007",http://www.nmc.ac.in/,,School,,Dr. A.R. Pon Periasamy,1967,,,,,098429 56720,poonamverma@rediff.com,msc.rupinder@gmail.com,nmcfrontoffice@gmail.com,iqacnmc2012@gmail.com,iqac@nmc.ac.in,placement@nmc.ac.in,rpsamy62@gmail.com,principal@nmc.ac.in,,,,
"New Arts, Commerce and Science College","Lal, Taki Rd, Tarakpur, Ahmednagar, Maharashtra 414001",http://www.newartscollege.com/,Ahmednagar,"Play School, Private School, School",,B. H. Zaware,1970,,,,,0241 232 4024,"shridhar8@yahoo.com, tripathi1@yahoo.com, sabadr@gmail.com",dr.tomar@gmail.com,"nacspar@rediffmail.com, newartsshevgaon1@yahoo.co.in","info@nacscprincipal, nascpar@rediffmail.com","nacasca@rediffmail.com, nacscprincipal@gmail.com","9975497786, 9096848967","9890615723, 9975497786","9850948267, 9890615723",,,,
New Era Public School,"H-17, Mayapuri Rd, Mayapuri, New Delhi, Delhi 110064",http://newerapublicschool.in/,Delhi,"School, Private School",,Vandana Chawla,,,,,,011 2549 4439,"kumarm.bsc@gmail.com, dr.poornima@rediff.com","umashankar.msc@gmail.com, anthonyclarence@gmail.com",uchpneps@hotmail.com,uchpneps@gmail.com,nes.gzb@gmail.com,enquiry.nesgzb@gmail.com,vchawla12@gmail.com,,,,,
New Horizon Public School,"100 Feet Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008",http://newhorizonindia.edu/nhps_new/,Karnataka,ICSE School,,,1970,,,3 crore,,080 2526 1735,,,chairman@newhorizonindia.edu,principalnhps@newhorizonindia.edu,admissionsnhps@newhorizonindia.edu,9953536765,principal@newhorizonindia.edu,registrar@newhorizonindia.edu,,,,
New R. S. J. Public School,"Jhusi, Uttar Pradesh 211019",http://www.newrsj.in/,Uttar Pradesh,Schools,,Suman Jaiswal,26 March 2001,,,,,092354 05690,mujeebkhan@gmail.com,anand3@gmail.com,skr_advocate@yahoo.co.in,sasjaiswal@gmail.com,,9452615535,9235405690,,,,,
"Nutan Higher Secondary School, Sehore","New, Nutan Colony, Englishpura, Sehore, Madhya Pradesh 466001",http://www.nutanschool.com/,Sehore,English Medium School,,Maya Tyagi,1992,,,,,074151 91914,,,contact@dikshantinternational,contact@dikshantinternational.org,er.deepak4u910@gmail.com,+91-8476040098,+91-7465908159,+91-9219460100,,,,
Our Lady of Fatima Convent Secondary School,"# 52-53, Ajit Nagar, Patiala, Punjab 147001",http://www.ourladyoffatimapatiala.com/,Punjab,"Private School, CBSE School",,Sister Celine Anthony,1960,,,"2.5 crore, 2 crore",,0175 221 4444,"dominicfr@gmail.com, abhijit.bsc@gmail.com","bansodemukund@gmail.com, dr.rajen@gmail.com",contact@ourladyfatimaschoolgurgaon.org,"ladyfatimaalg@gmail.com, santina_josephk@rediffmail.com","santina_josephk@rediffmail.com, contact@ourladyfatimaschoolgurgaon","contact@ourladyfatimaschoolgurgaon, contact@ourladyfatimaschoolgurgao",,,,,,
PEARSON SCHOOL KOMPALLY,"Survey No.149-150, Kompally Village, Lane, adjacent to Cine Planet, Hyderabad, Telangana 500014",http://pskedu.com/,Telangana,Board School,,,,,,7 crore,,089096 28888,,,admissions@pearsonschoolkompally.edu.in,admissions@pearsonschoolkompally.e,admissions@pearsonschoolkompall,91-9014112121,9014112121,919014112121,"+91-9262892998, +91-9262892999",,,
POLICE MODERN SCHOOL,"41 Battalion, PAC Rd, Sector-1, Vaishali, Ghaziabad, Uttar Pradesh 201010",http://pms41bn.in/,Uttar Pradesh,Schools,,,,,,10 lakh,,0120 277 2071,rajashribiswas@gmail.com,,pmsghaziabad@yahoo.co.in,info@pms41bn.co.in,pramila.singla@yahoo.com,8090060358,pmsrpletw@yahoo.co.in,,,,,
PRIST (Deemed University),"Trichy–Thanjavur Road,, Vallam,, Cafe road, Tamil Nadu 613403",http://www.prist.ac.in/,Tamil Nadu,Schools,,,"1985, Vallam","University Grants Commission, MORE",,8 lakh,,1800 425 7407,rajeshwari1967@rediff.com,,chancellor@prist.ac.in,vicechancellor@prist.ac.in,registrar@prist.ac.in,contact@prist.ac.in,dr.enyee@yahoo.co.in,,,,,
PSG College Of Technology,"Avinashi Rd, Peelamedu, Coimbatore, Tamil Nadu 641004",http://www.psgtech.edu/,,School,,Dr. K. Prakasan,1951,Anna University,,,,0422 257 2177,dr.madhurima@gmail.com,phd.navneet@gmail.com,acs@psgtech.ac.in,coe@psgtech.ac.in,deputy.coe@psgtech.ac.in,dean.acad@psgtech.ac.in,academic@psgtech.ac.in,training@mail.psgtech.ac.in,,,,
Padma Seshadri Bala Bhavan Senior Secondary School,"29 Alagiri Sami, PT Rajan Rd, K. K. Nagar, Chennai, Tamil Nadu 600078",http://www.psbbschools.ac.in/,Tamil Nadu,Schools,,,1959,,,10 lakh,,044 2366 3165,caroline1966@gmail.com,,hm@psbbsiruseri.com,webmaster@psbbschools.ac.in,pearlkkn@yahoo.co.in,adminsrs@psbbschools.ac.in,headschools.cbe@psbbmillenniumschool.org,,,,,
Pallavi Model School Boduppal,"near Ambedkar Statue, West Hanuman Nagar, Boduppal, Hyderabad, Telangana 500092",https://www.pallavimodelschools.org/boduppal,"Warangal, Telangana, Peddapalli, Mahabubnagar, Karimnagar","Private School, ICSE School, CBSE School, Play School, International School, IB school, School",,Mrs. Tanuja,,Central Board of Secondary Education,pallavimodelschools.org,2.5 crore,,076600 02469,"post12@gmail.com, mr.msc@gmail.com, col1969@rediff.com, fralwyn@gmail.com, awasthi.bsc@yahoo.com, chakraborty12@yahoo.com, dr.kamini@gmail.com, er.richa@gmail.com, hussain.bsc@hotmail.com, kalaswa1977@gmail.com","dudamambadas@gmail.com, principal.prakash@gmail.com, phd.virendra@gmail.com, dr.sunil@gmail.com, madhukar.bsc@gmail.com, gavandshankar@gmail.com, dr.kisan@gmail.com, gangwani17@gmail.com, msc.kabra@gmail.com, shriarvind@gmail.com","principal_bdpl@pallavimodelschools.org, admissions_bdpl@pallavimodelschools.org","pmsboduppal@gmail.com, principal_bdpl@pallavimodelschools.org",admissions_bwp@pallavimodelschools.org,"7660002467, 7660002469","7660002469, 7660002467",,,,,
Patha Bhavan,"103A & C, Bondel Rd, Ballygunge Place, Ballygunge, Kolkata, West Bengal 700019",http://www.pathabhavan.in/,West Bengal,Private School,,Subha Gupta,,,,2.5 crore,,033 2460 8301,davisfr@gmail.com,sarikarathi@gmail.com,pathabhavandankuni@ymail.com,pathabhavan65@yahoo.com,info@pathabhavandankuni.org,9433789666,7044476132,,,,,
Pathways School Gurgaon,"Faridabad - Gurgaon Rd, Baliawas, Gurugram, Haryana 122003",https://www.pathways.in/gurgaon,Haryana,"Private Schoos, Board School, International School",,,,,,"8 lakh, 11 lakh",,0124 487 2000,"meenakshi14@yahoo.com, bhandari10@gmail.com, rakeshsehgal@gmail.com",,admissions.aravali@pathways.in,school.aravali@pathways.in,admissions.gurgaon@pathways.in,9599002060,9717755998,9717781555,,,,
Pathways School Noida,"Noida-Greater Noida Expy, nr. Lotus Boulevard, Sector 100, Noida, Uttar Pradesh 201303",https://www.pathways.in/noida,"Uttar Pradesh, Haryana","IB school, Private Schoos",,,,,,"1/2 crore, 10 lakh",,"0120 461 7000, 095601 66200",ms1983@gmail.com,,"school.psn@pathways.in, admissions.aravali@pathways.in","admissions.pws@pathways.in, school.aravali@pathways.in","school.pws@pathways.in, admissions.gurgaon@pathways.in",9599002060,9717755998,9717781555,"7461961161, 7000258101, 7587792277, 9378339979",,,
Playpen,"House - 545/A Rd 19, Dhaka 1229, Bangladesh",http://playpen.edu.bd/,"Tripura, Meghalaya",IB school,,Sorabon Tohura,,,,"3 crore, 2 crore",,,"dr.kain@gmail.com, howard1989@rediff.com","balasaheb18@gmail.com, kunjan9@gmail.com",playpen1977@yahoo.com,info@playpen.lk,printplay@gmail.com,last@playpen.com.br,"john.doe@pensionplaypen.com, info@eff.org","info@eff.org, playpencranbrook@gmail.com",,,,
Podar International School,"Behind Vitthal Complex, Near Trishala Complex Cross road, New C.G.Road, Chandkheda, Ahmedabad, Gujarat 382424",http://podareducation.org/,Gujarat,Private Schoos,,,,,,8 lakh,,079 2397 2894,raj1982@yahoo.com,,admissions@podar,admissions@podar.org,connectpis@podar.org,9511939385,9511949667,9511942542,,,,
Podar International School,"Kalawad Road,Opposite Drive in Cinema,Avadh Road, Behind N.R.I. Colony Rd, Haripar Pal, Gujarat 360005",http://www.podareducation.org/school/rajkot,Gujarat,"Private Schoos, Board School",,,,,,"9 lakh, 12 lakh",,082911 99419,"anoop17@hotmail.com, agrawal15@gmail.com",,"admissions@podar, connectpis@podar.org","admissions@podar.org, principal.ib@.org","connectpis@podar.org, admissions@podar.org","9511939385, 9511942542",9511949667,"9511942542, 7506646585",,,,
Podar International School,"Shurshti Farm, Opp. Khakhria Prajapati Wadi, Por Kudasan Road, Gandhinagar, 382421",http://www.podareducation.org/,Gujarat,Private Schoos,,,,,,9 lakh,,079 2360 0841,er.anoop@gmail.com,,admissions@podar,admissions@podar.org,connectpis@podar.org,9511939385,9511949667,9511942542,,,,
Podar International School - Mehsana,"Survey no 191/2, Village Nugar, New By-pass road, Near Iscon circle, Gujarat 384002",http://www.podareducation.org/school/mehsana,Gujarat,"Private Schoos, International School",,,,,,"9 lakh, 8 lakh",,075748 07083,"msprabha@gmail.com, elizabeth2@gmail.com",,admissions@podar.org,"admin.mehsana@podar.org, vadodara2@podar.org","vadodara2@podar.org, principal.mehsana@podar.org","9737233999, 7574807083","9099902361, 9737233999","8469483999, 9099902361",,,,
Podar Jumbo Kids,"7/A, opposite Mahesana Garba Ground, Mahesana Nagar, Nizampura, Vadodara, Gujarat 390002",http://www.podar.org/vadodara2/contact.html,Gujarat,Kids School,,,,,,12 lakh,,084693 11888,kapoor5@gmail.com,,vadodara2@podar.org,jaipur@jumbokids.com,mangalore.bejai@jumbokids.com,9737233999,9099902361,8005625255,,,,
Podar Jumbo Kids - Karelibaug,"Prathiksha Bungalow, Pani Tanki Road, Karelibaug, Vadodara, Gujarat 390018",http://www.jumbokids.com/,Gujarat,Kids School,,,,,,11 lakh,,078787 84455,brodrshajan@rediff.com,,vadodara2@podar.org,vadodara3@jumbokids.com,pjkkarelibaug@jumbokids.com,7878784455,9737233999,9099902361,,,,
Podar Jumbo Kids Rajkot,"Radha, Jyoti Nagar 3, Ghanshyam Nagar, Rajkot, Gujarat 360005",http://podareducation.org/school/Rajkot/jumbokidseventsrajkot,Gujarat,Kids School,,,,,,5 lakh,,082911 99419,dsouza14@gmail.com,,admissions@podar.org,rajkot@jumbokids.com,pjkbhaktinagar@jumbokids.com,7574807054,9106727692,9427563866,,,,
Priyadarshini College of Engineering,"Priyadarshini Campus, Hingna Rd, Digdoh Hills, Nagpur, Maharashtra 440019",https://www.pcenagpur.edu.in/,,School,,Dr.V. M Nanot,1999,"Rashtrasant Tukadoji Maharaj Nagpur University, MORE",,,,07104 244 048,dsouza.phd@gmail.com,santoshshri@gmail.com,admission.pce.ltjss@gmail.com,principal.pce.ngp@gmail.com,aracademic.pce@gmail.com,9309003510,9309002665,9309006739,,,,
Puranchandra Vidyaniketan,"Hemat Vihar, Barra 2, Barra World Bank, Barra, Kanpur, Uttar Pradesh 208027",http://www.pcvnkanpur.com/,Uttar Pradesh,"Schools, CBSE School",,Shobhna Mukherjee,1991,,,5 crore,,0512 261 2126,"jaiswal.phd@gmail.com, rina18@gmail.com","msc.jay@gmail.com, prasad16@gmail.com",principalpcvn@jef.org.in,principalpcvn@gmail.com,rahul@del3.vsnl.net.in,principalpcvn@yahoo.co.in,,,,,,
Quantum University,"Roorkee - Dehradun Highway, Mandawar, Roorkee, Uttarakhand 247167",http://quantumuniversity.edu.in/,Uttarakhand,School,,,,,,2.5 crore,,093199 09777,,,admissions@quantumuniversity.edu.in,vicechancellor@quantumuniversity.edu.in,info@quantumuniversity.edu.in,7308080803,+91-9319909777,jane@quantumuniversity.com,9596243692,,,
Queen Mary School,"Vitthalbhai Patel Rd, Opp. Congress House, Grant Road East, Mumbai, Maharashtra 400004",http://queenmaryschool.edu.in/,Maharashtra,"Private School, ICSE School",,Miss G. Mathias,,,,"3 crore, 1/2 crore",,022 2387 5700,"pourushasp.msc@rediff.com, rakhimukherjee@gmail.com","ashwini.msc@gmail.com, deepali8@gmail.com",qmsdelhi@yahoo.in,info@qmsmodeltown.com,qmstishazari@gmail.com,queenmarysmt@bol.net.in,queenmaryschoolmumbai@gmail.com,,,,,
Queen Mira International School,"Sholavandhan Road, Kochadai, Melakkal Road, Madurai, 625016",http://queenmira.com/,Tamil Nadu,Schools,,,,,,8 lakh,,096557 77000,sandhu1975@gmail.com,,abinath.chandran@queenmira.com,mailcontact@queenmira.com,contact@queenmira.com,9655777000,9787570746,,"9418964455, 9418486147, 9816166990, 9418460565, 9418000405, 9418472774",,,
R D International School,"84, Erode - Karur Rd, Gatepudhur, Erode, Tamil Nadu 638104",https://rd.school/,Tamil Nadu,Private Schoos,,,,,,7 crore,,073732 75555,,,rdisrohini21@yahoo.com,rdischool1@gmail.com,grdinternationalschool@gmail.com,+91-7055304811,+91-7055304815,+91-7055304816,+91-9939882520,,,
RAMAKRISHNA MISSION VIDYALAYA,"SRKV Post, Periyanaickenpalayam, Tamil Nadu 641020",http://srkv.org/,Tamil Nadu,Schools,,,1930,Ramakrishna Mission,,11 lakh,,0422 269 2676,rajram@hotmail.com,,rkmvnarendrapur@gmail.com,coimbatore.mission@rkmm,rkmvhg@gmail.com,dinanathachaitanya@gmail.com,,,,,,
RBK International Academy,"Ghatkopar - Mankhurd Link Rd, ACC Nagar, Chedda Nagar, Mumbai, Maharashtra 400043",http://www.rbkia.org/,Maharashtra,"Private School, IB school, International School",,Monica Sarang,,,,"5 crore, 2375 crore, 3 crore",,074000 91646,"shirali.bsc@gmail.com, frmathew@gmail.com, gazimd@yahoo.com","vaishalikulkarni@gmail.com, makhijanisonal@gmail.com, pro.mane@gmail.com",info@rbkia.org,,,917400091646,917400091648,917400091647,,,,
RMK Residential Senior Secondary School,"N. H. 5, RSM Nagar, Kavaraipettai, Gummidipoondi, Chennai, Tamil Nadu 601206",http://www.rmkresidential.ac.in/,Chennai,Schools,Co-ED,R Ravichandran,2007,,,10 lakh,,"98842 13275, 044 6790 1234",ravichandran18@gmail.com,vikalpshri@gmail.com,info@rmkresidential.ac.in,,,,,,,,,
RNS INSTITUTE OF TECHNOLOGY,"Dr. Vishnuvardhana Road Post, Channasandra, RR Nagar, Bengaluru, Karnataka 560098",http://www.rnsit.ac.in/,,School,,Dr. M. K. Venkatesha,"2001, Bengaluru",Visvesvaraya Technological University (VTU),,,,080 2861 1880,drnaresh@rediff.com,narender.bsc@gmail.com,registrar@rnsit.ac.in,info@rnsit,principal@rnsit.ac.in,9880867337,9902155339,9449060402,,,,
ROYAL PUBLIC SCHOOL,"Adalhat,Shakti Nagar Highway, Mirzapur, Uttar Pradesh 231302",http://www.royalpublicschool.webs.com/,"Uttar Pradesh, Mirzapur-cum-Vindhyachal","Schools, Private School",,Sweta Gupta,2000,,,,,099199 31278,"dr.jha@gmail.com, pinto16@gmail.com",ghumman16@gmail.com,"royal.wazirpur@gmail.com, rajdeepsingh@gmail.com",royalpublicschool@gmail.com,"royalschool99@gmail.com, royal.wazirpur@gmail.com",9837144800,9760544800,+91-8510013473,,,,
RUDSET INSTITUTE AGARTALA,"Camper Bazar, Arundhuti Nagar, Agartala, Camper Bazar, Agartala, Tripura 799003",http://www.rudsetitraining.org/,Tripura,Boarding school,,,,,,5 crore,,0381 237 0359,,,tripurarudseti@gmail.com,sumankp2112@gmail.com,ravirudseti@gmail.com,9862729964,9916332715,9138123703,"8666009595, 9848049200, 9989687388, 9000542244",,,
Rabindranath Tagore University Hojai,"Hojai, Assam 782435",http://www.rtuassam.ac.in/,,School,,Biman Kumar Bhatta,11 July 1964,Gauhati University,,,,03674 252 163,asha16@hotmail.com,phd.chandra@gmail.com,rabindranathtagoreuniversity@gmail.com,info@rntu.ac.in,,7552700401,7552700447,,,,,
Rainbow School,"Saharanpur, Ahmed Bagh, Chander Nagar, Saharanpur, Uttar Pradesh 247001",http://rainbowschool.in/,Uttar Pradesh,School,,,,,,1/2 crore,,0131 272 5337,,,principalrainbowschoolsre@gmail.com,enquiry@rainbowschools.in,info@rainbowschool.ac.bw,8595543814,8779904288,9321238375,9500055277,,,
Rajalakshmi Engineering College,"Rajalakshmi Nagar, Thandalam, Tamil Nadu 602105",http://www.rajalakshmi.org/,Tamil Nadu,Schools,,,1997,"Anna University, Government of Tamil Nadu",,12 lakh,,044 3718 1111,p1972@gmail.com,,head.cemm@rajalakshmi.edu.in,hr@rajalakshmi.edu.in,coe@rajalakshmi.edu.in,+91-9025671066,9052671077,+91-9381981015,,,,
Rajalakshmi School of Architecture,"Rajalakshmi Nagar, Velachery, Chennai, Tamil Nadu 602105",http://www.rajalakshmi.org/,Tamil Nadu,Schools,,,2010,,,5 lakh,,044 3718 1595,praveenthakur@rediff.com,,head.cemm@rajalakshmi.edu.in,hr@rajalakshmi.edu.in,coe@rajalakshmi.edu.in,+91-9025671066,9052671077,+91-9381981015,,,,
Rajeev Gandhi Memorial College of Engineering and Technology,"Nerawada 'X' Roads, Kurnool District, Nandyala, Andhra Pradesh 518501",http://www.rgmcet.edu.in/,,School,,Dr. T. Jayachandra Prasad,1995,,,,,085142 75203,alkasingh@gmail.com,pardeep.bsc@gmail.com,principal.9@jntua.ac.in,principal@rgmcet.edu.in,info@rgmcet.edu.in,9440290470,9866308422,9866308423,,,,
"Rajiv Gandhi Institute Of Technology (Government Engineering College, Kottayam)","RIT Junction Nedumkuzhy Kottayam Velloor, Pampady, Kerala 686501",http://www.rit.ac.in/,Alappuzha,IB school,,Dr. Jalaja M.J,,,,,,0481 250 6153,leena.bsc@gmail.com,,info@rit.ac.in,principal@rit.ac.in,hod.ce@rit.ac.in,hod.cse@rit.ac.in,hod.eee@rit.ac.in,hod.ece@rit.ac.in,,,,
Rajkiya Engineering College Bijnor,"Jaleel Pur Road, Near Eid Gah, Bijnor, Chandpur, Uttar Pradesh 246725",http://recb.ac.in/,Uttar Pradesh,Schools,,,2009,"Dr. A.P.J. Abdul Kalam Technical University, Lucknow",,,,076175 89582,,,director@recb.ac.in,priyanka.ash@recb.ac.in,vivekrecb@gmail,7617589582,9454338957,9760521362,,,,
Rajkiya Pratibha Vikas Vidyalya,"Block BT, West Shalimar Bagh, Shalimar Bagh, Delhi, 110088",http://cfcst.weebly.com/,Delhi,School,,Mrs. Sarita Batra,,,,,,011 2748 3136,amalanathan1985@gmail.com,pro.subhash@gmail.com,1514023@delhi.gov.in,arvindkumarsre@gmail.com,rpvvinacolony@gmail.com,9350235051,9818415348,zone4rpvv@gmail.com,,,,
Ram Lal Anand College,"Benito Juarez Marg, South Campus, South Moti Bagh, New Delhi, Delhi 110021",http://rlacollege.edu.in/,,School,,Dr. Rakesh Kumar Gupta,1964,,,,,011 2411 2557,biswajit.bsc@gmail.com,chopra10@gmail.com,rlac.du@gmail.com,rakeshpragya@gmail.com,dpsinha50@hotmail.com,8527346633,9891400986,,,,,
Ramagya School | Best Schools in Noida | School in Noida,"E-7, E Block, Sector 50, Noida, Uttar Pradesh 201301",https://ramagyaschool.com/,Uttar Pradesh,Schools,,,,,,5 lakh,,080103 33555,dr.mitter@gmail.com,,admissions@ramagyaschool.com,principal@ramagyaschool.com,careers@ramagyagroup.com,+91-8010333555,sports@ramagyagroup.com,,,,,
"Ramakrishna Mission Residential College, Narendrapur","Ramakrishna Mission Ashram Main Rd, Narendrapur, Kolkata, West Bengal 700103",http://rkmrc.in/,Arunachal Pradesh,ICSE School,,Swami Shastrajnananda,,,,3 crore,,033 2477 2205,sreenivasa5@rediff.com,kumatr3@gmail.com,admissionrkmrc@gmail.com,rkmcnpur@gmail.com,www.rkmcnpur@gmail.com,mail@rkmcnarendrapur.org,,,,,,
Ramthakur College,"Badharghat, Agartala, Tripura 799003",http://www.ramthakurcollege.nic.in/,Tripura,Play School,,Amiya Kumar Pan,,,,2.5 crore,,0381 237 0295,vishnu.msc@gmail.com,piyush.bsc@gmail.com,ramthakur.college@rediffmail.com,sensam2015@gmail.com,dipakbardhan4u@gmail.com,+91-9436137198,nabendu_aol@yahoo.com,surajit.chem@gmail.com,,,,
Rangoli Pre school,"B-9,sahyog society, panchwati Gorwa refianery road,nr.sahyog garden, opp. iti, Gorwa, Vadodara, Gujarat 390016",http://www.rangolischool.co.in/,Gujarat,Kids School,,,,,,12 lakh,,095375 16754,drranjankumar@gmail.com,,nizampura.vadodara@rangolischool.co.in,info@rangolischool.co.in,nizampura.vadodara@rangolischool.co,9327638285,9426349919,9723466820,,,,
Rapid Global School,"Achhalda - Bidhuna Rd, Bidhuna, Uttar Pradesh 206243",http://www.rapidglobalschool.org/,Uttar Pradesh,Schools,,Deepti Kamal Rathore,29 October 2010,,,,,094118 90482,singh1984@hotmail.com,khan17@gmail.com,anupamsingh88@gmail.com,rgscbsrivastav@gmail.com,rapidglobal2011@gmail.com,rgsprincipal@gmail.com,,,,,,
Rays Public School,"4 Eroth Centre, Bank Rd, Above Air India Office, Tazhekkod, Kozhikode, Kerala 673001",http://www.rayseducation.org/,Kerala,Private Schoos,,,,,,5 lakh,,0495 644 2644,madhu10@gmail.com,,schoolrays@gmail.com,calicutrays@gmail.com,amitjais3222@gmail.com,9778416877,9792933222,9236920341,,,,
